"","V1","V2","V3"
"1","NODE_1_K99_10623_10_37.680160",1,1
"2","NODE_1_K99_10623_10_37.680160",2,1
"3","NODE_1_K99_10623_10_37.680160",3,1
"4","NODE_1_K99_10623_10_37.680160",4,1
"5","NODE_1_K99_10623_10_37.680160",5,1
"6","NODE_1_K99_10623_10_37.680160",6,1
"7","NODE_1_K99_10623_10_37.680160",7,1
"8","NODE_1_K99_10623_10_37.680160",8,1
"9","NODE_1_K99_10623_10_37.680160",9,1
"10","NODE_1_K99_10623_10_37.680160",10,1
"11","NODE_1_K99_10623_10_37.680160",11,1
"12","NODE_1_K99_10623_10_37.680160",12,1
"13","NODE_1_K99_10623_10_37.680160",13,1
"14","NODE_1_K99_10623_10_37.680160",14,1
"15","NODE_1_K99_10623_10_37.680160",15,1
"16","NODE_1_K99_10623_10_37.680160",16,2
"17","NODE_1_K99_10623_10_37.680160",17,2
"18","NODE_1_K99_10623_10_37.680160",18,2
"19","NODE_1_K99_10623_10_37.680160",19,2
"20","NODE_1_K99_10623_10_37.680160",20,2
"21","NODE_1_K99_10623_10_37.680160",21,2
"22","NODE_1_K99_10623_10_37.680160",22,2
"23","NODE_1_K99_10623_10_37.680160",23,2
"24","NODE_1_K99_10623_10_37.680160",24,2
"25","NODE_1_K99_10623_10_37.680160",25,2
"26","NODE_1_K99_10623_10_37.680160",26,2
"27","NODE_1_K99_10623_10_37.680160",27,2
"28","NODE_1_K99_10623_10_37.680160",28,2
"29","NODE_1_K99_10623_10_37.680160",29,1
"30","NODE_1_K99_10623_10_37.680160",30,2
"31","NODE_1_K99_10623_10_37.680160",31,2
"32","NODE_1_K99_10623_10_37.680160",32,2
"33","NODE_1_K99_10623_10_37.680160",33,2
"34","NODE_1_K99_10623_10_37.680160",34,2
"35","NODE_1_K99_10623_10_37.680160",35,2
"36","NODE_1_K99_10623_10_37.680160",36,2
"37","NODE_1_K99_10623_10_37.680160",37,2
"38","NODE_1_K99_10623_10_37.680160",38,3
"39","NODE_1_K99_10623_10_37.680160",39,3
"40","NODE_1_K99_10623_10_37.680160",40,3
"41","NODE_1_K99_10623_10_37.680160",41,3
"42","NODE_1_K99_10623_10_37.680160",42,3
"43","NODE_1_K99_10623_10_37.680160",43,3
"44","NODE_1_K99_10623_10_37.680160",44,4
"45","NODE_1_K99_10623_10_37.680160",45,4
"46","NODE_1_K99_10623_10_37.680160",46,4
"47","NODE_1_K99_10623_10_37.680160",47,4
"48","NODE_1_K99_10623_10_37.680160",48,4
"49","NODE_1_K99_10623_10_37.680160",49,4
"50","NODE_1_K99_10623_10_37.680160",50,4
"51","NODE_1_K99_10623_10_37.680160",51,4
"52","NODE_1_K99_10623_10_37.680160",52,4
"53","NODE_1_K99_10623_10_37.680160",53,4
"54","NODE_1_K99_10623_10_37.680160",54,4
"55","NODE_1_K99_10623_10_37.680160",55,4
"56","NODE_1_K99_10623_10_37.680160",56,4
"57","NODE_1_K99_10623_10_37.680160",57,4
"58","NODE_1_K99_10623_10_37.680160",58,4
"59","NODE_1_K99_10623_10_37.680160",59,4
"60","NODE_1_K99_10623_10_37.680160",60,4
"61","NODE_1_K99_10623_10_37.680160",61,4
"62","NODE_1_K99_10623_10_37.680160",62,4
"63","NODE_1_K99_10623_10_37.680160",63,4
"64","NODE_1_K99_10623_10_37.680160",64,4
"65","NODE_1_K99_10623_10_37.680160",65,4
"66","NODE_1_K99_10623_10_37.680160",66,4
"67","NODE_1_K99_10623_10_37.680160",67,4
"68","NODE_1_K99_10623_10_37.680160",68,4
"69","NODE_1_K99_10623_10_37.680160",69,4
"70","NODE_1_K99_10623_10_37.680160",70,4
"71","NODE_1_K99_10623_10_37.680160",71,1
"72","NODE_1_K99_10623_10_37.680160",72,5
"73","NODE_1_K99_10623_10_37.680160",73,5
"74","NODE_1_K99_10623_10_37.680160",74,5
"75","NODE_1_K99_10623_10_37.680160",75,5
"76","NODE_1_K99_10623_10_37.680160",76,5
"77","NODE_1_K99_10623_10_37.680160",77,5
"78","NODE_1_K99_10623_10_37.680160",78,5
"79","NODE_1_K99_10623_10_37.680160",79,5
"80","NODE_1_K99_10623_10_37.680160",80,6
"81","NODE_1_K99_10623_10_37.680160",81,6
"82","NODE_1_K99_10623_10_37.680160",82,6
"83","NODE_1_K99_10623_10_37.680160",83,6
"84","NODE_1_K99_10623_10_37.680160",84,6
"85","NODE_1_K99_10623_10_37.680160",85,6
"86","NODE_1_K99_10623_10_37.680160",86,6
"87","NODE_1_K99_10623_10_37.680160",87,6
"88","NODE_1_K99_10623_10_37.680160",88,6
"89","NODE_1_K99_10623_10_37.680160",89,6
"90","NODE_1_K99_10623_10_37.680160",90,6
"91","NODE_1_K99_10623_10_37.680160",91,6
"92","NODE_1_K99_10623_10_37.680160",92,6
"93","NODE_1_K99_10623_10_37.680160",93,6
"94","NODE_1_K99_10623_10_37.680160",94,6
"95","NODE_1_K99_10623_10_37.680160",95,6
"96","NODE_1_K99_10623_10_37.680160",96,6
"97","NODE_1_K99_10623_10_37.680160",97,6
"98","NODE_1_K99_10623_10_37.680160",98,6
"99","NODE_1_K99_10623_10_37.680160",99,6
"100","NODE_1_K99_10623_10_37.680160",100,5
"101","NODE_1_K99_10623_10_37.680160",101,6
"102","NODE_1_K99_10623_10_37.680160",102,6
"103","NODE_1_K99_10623_10_37.680160",103,6
"104","NODE_1_K99_10623_10_37.680160",104,5
"105","NODE_1_K99_10623_10_37.680160",105,6
"106","NODE_1_K99_10623_10_37.680160",106,6
"107","NODE_1_K99_10623_10_37.680160",107,6
"108","NODE_1_K99_10623_10_37.680160",108,6
"109","NODE_1_K99_10623_10_37.680160",109,6
"110","NODE_1_K99_10623_10_37.680160",110,6
"111","NODE_1_K99_10623_10_37.680160",111,6
"112","NODE_1_K99_10623_10_37.680160",112,6
"113","NODE_1_K99_10623_10_37.680160",113,6
"114","NODE_1_K99_10623_10_37.680160",114,6
"115","NODE_1_K99_10623_10_37.680160",115,6
"116","NODE_1_K99_10623_10_37.680160",116,6
"117","NODE_1_K99_10623_10_37.680160",117,6
"118","NODE_1_K99_10623_10_37.680160",118,6
"119","NODE_1_K99_10623_10_37.680160",119,5
"120","NODE_1_K99_10623_10_37.680160",120,5
"121","NODE_1_K99_10623_10_37.680160",121,6
"122","NODE_1_K99_10623_10_37.680160",122,6
"123","NODE_1_K99_10623_10_37.680160",123,6
"124","NODE_1_K99_10623_10_37.680160",124,6
"125","NODE_1_K99_10623_10_37.680160",125,6
"126","NODE_1_K99_10623_10_37.680160",126,6
"127","NODE_1_K99_10623_10_37.680160",127,6
"128","NODE_1_K99_10623_10_37.680160",128,6
"129","NODE_1_K99_10623_10_37.680160",129,6
"130","NODE_1_K99_10623_10_37.680160",130,6
"131","NODE_1_K99_10623_10_37.680160",131,6
"132","NODE_1_K99_10623_10_37.680160",132,6
"133","NODE_1_K99_10623_10_37.680160",133,6
"134","NODE_1_K99_10623_10_37.680160",134,6
"135","NODE_1_K99_10623_10_37.680160",135,6
"136","NODE_1_K99_10623_10_37.680160",136,6
"137","NODE_1_K99_10623_10_37.680160",137,6
"138","NODE_1_K99_10623_10_37.680160",138,6
"139","NODE_1_K99_10623_10_37.680160",139,6
"140","NODE_1_K99_10623_10_37.680160",140,6
"141","NODE_1_K99_10623_10_37.680160",141,6
"142","NODE_1_K99_10623_10_37.680160",142,6
"143","NODE_1_K99_10623_10_37.680160",143,6
"144","NODE_1_K99_10623_10_37.680160",144,6
"145","NODE_1_K99_10623_10_37.680160",145,6
"146","NODE_1_K99_10623_10_37.680160",146,6
"147","NODE_1_K99_10623_10_37.680160",147,6
"148","NODE_1_K99_10623_10_37.680160",148,6
"149","NODE_1_K99_10623_10_37.680160",149,6
"150","NODE_1_K99_10623_10_37.680160",150,6
"151","NODE_1_K99_10623_10_37.680160",151,6
"152","NODE_1_K99_10623_10_37.680160",152,6
"153","NODE_1_K99_10623_10_37.680160",153,6
"154","NODE_1_K99_10623_10_37.680160",154,6
"155","NODE_1_K99_10623_10_37.680160",155,6
"156","NODE_1_K99_10623_10_37.680160",156,6
"157","NODE_1_K99_10623_10_37.680160",157,6
"158","NODE_1_K99_10623_10_37.680160",158,6
"159","NODE_1_K99_10623_10_37.680160",159,6
"160","NODE_1_K99_10623_10_37.680160",160,6
"161","NODE_1_K99_10623_10_37.680160",161,6
"162","NODE_1_K99_10623_10_37.680160",162,7
"163","NODE_1_K99_10623_10_37.680160",163,7
"164","NODE_1_K99_10623_10_37.680160",164,7
"165","NODE_1_K99_10623_10_37.680160",165,8
"166","NODE_1_K99_10623_10_37.680160",166,8
"167","NODE_1_K99_10623_10_37.680160",167,8
"168","NODE_1_K99_10623_10_37.680160",168,8
"169","NODE_1_K99_10623_10_37.680160",169,9
"170","NODE_1_K99_10623_10_37.680160",170,9
"171","NODE_1_K99_10623_10_37.680160",171,9
"172","NODE_1_K99_10623_10_37.680160",172,9
"173","NODE_1_K99_10623_10_37.680160",173,9
"174","NODE_1_K99_10623_10_37.680160",174,8
"175","NODE_1_K99_10623_10_37.680160",175,8
"176","NODE_1_K99_10623_10_37.680160",176,8
"177","NODE_1_K99_10623_10_37.680160",177,8
"178","NODE_1_K99_10623_10_37.680160",178,8
"179","NODE_1_K99_10623_10_37.680160",179,8
"180","NODE_1_K99_10623_10_37.680160",180,8
"181","NODE_1_K99_10623_10_37.680160",181,9
"182","NODE_1_K99_10623_10_37.680160",182,8
"183","NODE_1_K99_10623_10_37.680160",183,8
"184","NODE_1_K99_10623_10_37.680160",184,9
"185","NODE_1_K99_10623_10_37.680160",185,9
"186","NODE_1_K99_10623_10_37.680160",186,9
"187","NODE_1_K99_10623_10_37.680160",187,9
"188","NODE_1_K99_10623_10_37.680160",188,9
"189","NODE_1_K99_10623_10_37.680160",189,9
"190","NODE_1_K99_10623_10_37.680160",190,9
"191","NODE_1_K99_10623_10_37.680160",191,9
"192","NODE_1_K99_10623_10_37.680160",192,9
"193","NODE_1_K99_10623_10_37.680160",193,9
"194","NODE_1_K99_10623_10_37.680160",194,9
"195","NODE_1_K99_10623_10_37.680160",195,9
"196","NODE_1_K99_10623_10_37.680160",196,9
"197","NODE_1_K99_10623_10_37.680160",197,9
"198","NODE_1_K99_10623_10_37.680160",198,9
"199","NODE_1_K99_10623_10_37.680160",199,9
"200","NODE_1_K99_10623_10_37.680160",200,9
"201","NODE_1_K99_10623_10_37.680160",201,9
"202","NODE_1_K99_10623_10_37.680160",202,8
"203","NODE_1_K99_10623_10_37.680160",203,9
"204","NODE_1_K99_10623_10_37.680160",204,9
"205","NODE_1_K99_10623_10_37.680160",205,9
"206","NODE_1_K99_10623_10_37.680160",206,9
"207","NODE_1_K99_10623_10_37.680160",207,9
"208","NODE_1_K99_10623_10_37.680160",208,9
"209","NODE_1_K99_10623_10_37.680160",209,9
"210","NODE_1_K99_10623_10_37.680160",210,9
"211","NODE_1_K99_10623_10_37.680160",211,9
"212","NODE_1_K99_10623_10_37.680160",212,9
"213","NODE_1_K99_10623_10_37.680160",213,9
"214","NODE_1_K99_10623_10_37.680160",214,9
"215","NODE_1_K99_10623_10_37.680160",215,8
"216","NODE_1_K99_10623_10_37.680160",216,9
"217","NODE_1_K99_10623_10_37.680160",217,9
"218","NODE_1_K99_10623_10_37.680160",218,9
"219","NODE_1_K99_10623_10_37.680160",219,9
"220","NODE_1_K99_10623_10_37.680160",220,9
"221","NODE_1_K99_10623_10_37.680160",221,9
"222","NODE_1_K99_10623_10_37.680160",222,9
"223","NODE_1_K99_10623_10_37.680160",223,9
"224","NODE_1_K99_10623_10_37.680160",224,9
"225","NODE_1_K99_10623_10_37.680160",225,9
"226","NODE_1_K99_10623_10_37.680160",226,9
"227","NODE_1_K99_10623_10_37.680160",227,9
"228","NODE_1_K99_10623_10_37.680160",228,9
"229","NODE_1_K99_10623_10_37.680160",229,8
"230","NODE_1_K99_10623_10_37.680160",230,8
"231","NODE_1_K99_10623_10_37.680160",231,8
"232","NODE_1_K99_10623_10_37.680160",232,8
"233","NODE_1_K99_10623_10_37.680160",233,8
"234","NODE_1_K99_10623_10_37.680160",234,8
"235","NODE_1_K99_10623_10_37.680160",235,8
"236","NODE_1_K99_10623_10_37.680160",236,8
"237","NODE_1_K99_10623_10_37.680160",237,9
"238","NODE_1_K99_10623_10_37.680160",238,9
"239","NODE_1_K99_10623_10_37.680160",239,9
"240","NODE_1_K99_10623_10_37.680160",240,9
"241","NODE_1_K99_10623_10_37.680160",241,10
"242","NODE_1_K99_10623_10_37.680160",242,12
"243","NODE_1_K99_10623_10_37.680160",243,12
"244","NODE_1_K99_10623_10_37.680160",244,12
"245","NODE_1_K99_10623_10_37.680160",245,12
"246","NODE_1_K99_10623_10_37.680160",246,12
